Grid,longitude,latitude
531,459343.4031,3883744.999
532,463141.008,3883728.794
533,466938.6062,3883714.178
534,470736.1984,3883701.148
535,474533.7853,3883689.707
536,478331.3677,3883679.854
537,482128.9461,3883671.588
538,485926.5213,3883664.91
539,489724.0939,3883659.82
540,493521.6647,3883656.317
541,497319.2343,3883654.403
542,501116.8034,3883654.076
543,504914.3727,3883655.337
544,508711.943,3883658.185
545,254369.0347,3891602.019
546,258166.0785,3891499.91
547,261963.0789,3891399.395
548,265760.0365,3891300.474
549,269556.9519,3891203.146
550,273353.826,3891107.412
551,277150.6593,3891013.27
552,280947.4525,3890920.722
553,284744.2063,3890829.766
554,288540.9215,3890740.403
555,292337.5986,3890652.633
556,296134.2384,3890566.455
557,299930.8415,3890481.869
558,303727.4086,3890398.876
559,307523.9404,3890317.474
560,311320.4377,3890237.664
561,315116.9009,3890159.446
562,318913.331,3890082.82
563,322709.7284,3890007.785
564,326506.094,3889934.341
565,330302.4283,3889862.489
566,334098.7321,3889792.228
567,337895.0061,3889723.558
568,341691.2509,3889656.478
569,345487.4672,3889590.99
570,349283.6557,3889527.092
571,353079.8171,3889464.785
572,356875.9521,3889404.068
573,360672.0613,3889344.942
574,364468.1454,3889287.406
575,368264.2051,3889231.46
576,372060.2412,3889177.104
577,375856.2542,3889124.339
578,379652.2448,3889073.163
579,383448.2138,3889023.577
580,387244.1618,3888975.581
581,391040.0896,3888929.175
582,394835.9977,3888884.358
583,398631.8869,3888841.131
584,402427.7578,3888799.493
585,406223.6112,3888759.445
586,410019.4476,3888720.986
587,413815.2679,3888684.116
588,417611.0727,3888648.836
589,421406.8626,3888615.144
590,425202.6384,3888583.042
591,428998.4007,3888552.529
592,432794.1503,3888523.605
593,436589.8877,3888496.27
594,440385.6137,3888470.524
595,444181.329,3888446.367
596,447977.0343,3888423.798
597,451772.7301,3888402.819
598,455568.4173,3888383.428
599,459364.0965,3888365.626
600,463159.7684,3888349.413
601,466955.4336,3888334.788
602,470751.0929,3888321.752
603,474546.7469,3888310.305
604,478342.3964,3888300.446
605,482138.0419,3888292.176
606,485933.6842,3888285.495
607,489729.324,3888280.402
608,493524.9619,3888276.898
609,497320.5987,3888274.982
610,501116.235,3888274.655
611,504911.8715,3888275.916
612,508707.5089,3888278.766
613,254494.3712,3896224.366
614,258289.4738,3896122.204
615,262084.5331,3896021.637
616,265879.5498,3895922.664
617,269674.5245,3895825.286
618,273469.4581,3895729.501
619,277264.3511,3895635.311
620,281059.2042,3895542.714
621,284854.0181,3895451.711
622,288648.7935,3895362.302
623,292443.531,3895274.485
624,296238.2314,3895188.262
625,300032.8953,3895103.633
626,303827.5233,3895020.596
627,307622.1162,3894939.152
628,311416.6747,3894859.3
629,315211.1993,3894781.042
630,319005.6909,3894704.375
631,322800.15,3894629.301
632,326594.5774,3894555.819
633,330388.9737,3894483.929
634,334183.3397,3894413.631
635,337977.6759,3894344.925
636,341771.9831,3894277.811
637,345566.2619,3894212.289
638,349360.5131,3894148.357
639,353154.7372,3894086.018
640,356948.935,3894025.269
641,360743.1073,3893966.112
642,364537.2545,3893908.546
643,368331.3775,3893852.571
644,372125.4768,3893798.187
645,375919.5533,3893745.394
646,379713.6075,3893694.191
647,383507.6401,3893644.579
648,387301.6518,3893596.558
649,391095.6434,3893550.128
650,394889.6154,3893505.287
651,398683.5686,3893462.038
652,402477.5036,3893420.378
653,406271.4212,3893380.309
654,410065.3219,3893341.83
655,413859.2065,3893304.941
656,417653.0756,3893269.642
657,421446.93,3893235.933
658,425240.7703,3893203.814
659,429034.5972,3893173.285
660,432828.4114,3893144.346
661,436622.2135,3893116.997
662,440416.0043,3893091.237
663,444209.7844,3893067.068
664,448003.5545,3893044.487
665,451797.3152,3893023.497
666,455591.0673,3893004.096
667,459384.8115,3892986.285
668,463178.5483,3892970.063
669,466972.2786,3892955.43
670,470766.0029,3892942.388
671,474559.722,3892930.934
672,478353.4365,3892921.071
673,482147.1472,3892912.796
674,485940.8546,3892906.111
675,489734.5595,3892901.016
676,493528.2626,3892897.51
677,497321.9645,3892895.593
678,501115.666,3892895.266
679,504909.3676,3892896.528
680,508703.0701,3892899.379
681,254619.8377,3900846.739
682,258412.997,3900744.524
683,262206.1133,3900643.904
684,265999.1871,3900544.88
685,269792.2192,3900447.451
686,273585.2103,3900351.617
687,277378.1609,3900257.377
688,281171.0719,3900164.733
689,284963.9439,3900073.682
690,288756.7775,3899984.227
691,292549.5734,3899896.365
692,296342.3324,3899810.097
693,300135.055,3899725.423
694,303927.7419,3899642.343
695,307720.3939,3899560.857
696,311513.0116,3899480.964
697,315305.5956,3899402.665
698,319098.1467,3899325.958
699,322890.6655,3899250.845
700,326683.1527,3899177.325
701,330475.609,3899105.398
702,334268.0351,3899035.064
703,338060.4315,3898966.322
704,341852.7991,3898899.173
705,345645.1384,3898833.616
706,349437.4502,3898769.652
707,353229.7351,3898707.28
708,357021.9938,3898646.5
709,360814.227,3898587.312
710,364606.4354,3898529.716
711,368398.6195,3898473.712
712,372190.7802,3898419.299
713,375982.9181,3898366.479
714,379775.0338,3898315.25
715,383567.1281,3898265.612
716,387359.2016,3898217.566
717,391151.2549,3898171.111
718,394943.2889,3898126.248
719,398735.304,3898082.975
720,402527.3011,3898041.294
721,406319.2808,3898001.204
722,410111.2438,3897962.705
723,413903.1907,3897925.797
724,417695.1222,3897890.48
725,421487.039,3897856.753
726,425278.9419,3897824.618
727,429070.8313,3897794.073
728,432862.7081,3897765.119
729,436654.5729,3897737.755
730,440446.4264,3897711.982
731,444238.2693,3897687.8
732,448030.1022,3897665.208
733,451821.9258,3897644.206
734,455613.7409,3897624.795
735,459405.5479,3897606.975
736,463197.3478,3897590.744
737,466989.141,3897576.105
738,470780.9284,3897563.055
739,474572.7106,3897551.596
740,478364.4882,3897541.727
741,482156.2619,3897533.448
742,485948.0325,3897526.76
743,489739.8005,3897521.662
744,493531.5667,3897518.154
745,497323.3318,3897516.236
746,501115.0964,3897515.908
747,504906.8612,3897517.171
748,508698.6268,3897520.024
749,254745.4342,3905469.136
750,258536.6483,3905366.868
751,262327.8194,3905266.197
752,266118.9484,3905167.121
