,lat,lon,dS2S_T1,AF_T1,var_T1,sd_T1
3089,4060348.057,363349.6196,-0.819047993,0.440851148,0.205128031,0.452910621
3090,4060289.491,367072.7083,-0.777204805,0.459689138,0.20018421,0.447419502
3091,4060232.543,370795.7766,-0.704807759,0.494203571,0.190074665,0.435975533
3092,4060177.214,374518.8252,-0.608235435,0.544310494,0.17628731,0.419865824
3093,4060123.503,378241.8547,-0.478601957,0.619649083,0.158593394,0.398237861
3094,4060071.411,381964.8655,-0.313440376,0.730927959,0.13389813,0.365920934
3095,4060020.937,385687.8583,-0.140694253,0.868754891,0.097733057,0.312622868
3096,4059972.081,389410.8336,0.026797316,1.027159593,0.059223827,0.243359461
3097,4059924.843,393133.792,0.174846261,1.191063089,0.071041151,0.266535458
3098,4059879.224,396856.7341,0.30183351,1.352336057,0.099617826,0.315622917
3099,4059835.222,400579.6604,0.415374237,1.514937581,0.106990413,0.327093889
3100,4059792.839,404302.5716,0.4982159,1.645782409,0.088007778,0.29666105
3101,4059752.073,408025.4681,0.538813645,1.713972276,0.044254302,0.210367065
3102,4059712.925,411748.3505,0.567063155,1.763081544,0.05339741,0.231078796
3103,4059675.394,415471.2194,0.562924163,1.755799244,0.093765766,0.306211962
3104,4059639.482,419194.0755,0.498120111,1.645624769,0.108700941,0.329698258
3105,4059605.187,422916.9191,0.383493564,1.467402108,0.103490064,0.321698716
3106,4059572.51,426639.751,0.250517898,1.284690584,0.09607099,0.309953207
3107,4059541.45,430362.5717,0.135008601,1.144546628,0.105156093,0.324277802
3108,4059512.007,434085.3817,0.041871539,1.042760516,0.118147541,0.343725968
3109,4059484.182,437808.1816,-0.024577257,0.975722305,0.119105465,0.345116596
3110,4059457.975,441530.9721,-0.071663447,0.930844122,0.104814326,0.323750406
3111,4059433.385,445253.7536,-0.12855771,0.879362813,0.084885516,0.29135119
3112,4059410.412,448976.5267,-0.251706093,0.777473209,0.085023794,0.291588397
3113,4059389.056,452699.292,-0.428906457,0.651220843,0.089390188,0.29898192
3114,4059369.318,456422.0501,-0.620955815,0.537430508,0.065610736,0.256145927
3115,4059351.197,460144.8015,-0.7713275,0.462398826,0.025700234,0.160312924
3116,4059334.693,463867.5469,-0.681388476,0.505914055,0.086186868,0.293576001
3117,4059319.806,467590.2867,-0.562514182,0.569774744,0.148971808,0.385968662
3118,4059306.537,471313.0215,-0.438787125,0.64481803,0.204989473,0.452757632
3119,4059294.884,475035.752,-0.31346079,0.730913038,0.255958589,0.505923501
3120,4059284.849,478758.4786,-0.20130467,0.817663276,0.302090293,0.549627413
3121,4059276.431,482481.202,-0.114148438,0.892125521,0.343442951,0.586040059
3122,4059269.629,486203.9228,-0.051853096,0.949468337,0.37993086,0.616385318
3123,4059264.445,489926.6414,-0.009416064,0.990628128,0.411213881,0.641259605
3124,4059260.878,493649.3584,0.017800612,1.017959987,0.43746609,0.661412194
3125,4059258.928,497372.0745,0.03147298,1.031973491,0.4586979,0.677272397
3126,4059258.595,501094.7902,0.047596733,1.048747644,0.47428513,0.688683621
3127,4059259.879,504817.5061,0.070399691,1.072936939,0.485113247,0.696500716
3128,4059262.78,508540.2227,0.096567138,1.101383523,0.491869925,0.701334389
3129,4067268.778,259222.6918,0.425367339,1.530152401,0.451715916,0.672098144
3130,4067164.8,262944.5645,0.45846945,1.581651335,0.439515356,0.662959544
3131,4067062.445,266666.4013,0.479953707,1.615999591,0.427290329,0.653674482
3132,4066961.712,270388.2026,0.487872195,1.628846662,0.415563183,0.644641903
3133,4066862.601,274109.9691,0.479520473,1.615299637,0.404570393,0.636058482
3134,4066765.113,277831.7013,0.451073994,1.569997448,0.394307291,0.627938923
3135,4066669.247,281553.3998,0.402982817,1.496281181,0.38383511,0.619544276
3136,4066575.003,285275.0651,0.339285543,1.403944174,0.372355347,0.610209265
3137,4066482.381,288996.6977,0.263238067,1.30113644,0.358731944,0.598942355
3138,4066391.381,292718.2984,0.178141578,1.194994494,0.341145765,0.584076849
3139,4066302.002,296439.8675,0.087742105,1.09170654,0.318040299,0.563950618
3140,4066214.245,300161.4058,-0.00981407,0.990233931,0.288955151,0.537545487
3141,4066128.109,303882.9136,-0.112498775,0.893598442,0.25547205,0.50544243
3142,4066043.594,307604.3917,-0.211809004,0.809119222,0.221524462,0.470663853
3143,4065960.7,311325.8406,-0.303725243,0.738063627,0.193580266,0.439977575
3144,4065879.428,315047.2608,-0.382675898,0.682033912,0.176752268,0.420419157
3145,4065799.775,318768.6529,-0.447475956,0.639239586,0.169875257,0.412159261
3146,4065721.744,322490.0174,-0.50272627,0.604879345,0.166322318,0.407826333
3147,4065645.333,326211.355,-0.548117425,0.578036985,0.159832713,0.399790837
3148,4065570.543,329932.6661,-0.577569125,0.561261065,0.145634102,0.381620363
3149,4065497.373,333653.9514,-0.593189125,0.552562282,0.118875054,0.344782618
3150,4065425.823,337375.2115,-0.610685465,0.542978549,0.07865438,0.280453882
3151,4065355.893,341096.4468,-0.632390987,0.531319902,0.057439425,0.239665236
3152,4065287.584,344817.658,-0.658448288,0.517653962,0.09871201,0.314184675
3153,4065220.894,348538.8455,-0.686550609,0.503309188,0.142859298,0.377967324
3154,4065155.824,352260.0101,-0.712922514,0.490209458,0.173362961,0.41636878
3155,4065092.374,355981.1521,-0.73744604,0.478334003,0.191115647,0.437167756
3156,4065030.543,359702.2723,-0.750498828,0.472130982,0.199444127,0.446591678
3157,4064970.332,363423.3712,-0.744005686,0.475206569,0.201593493,0.44899164
3158,4064911.74,367144.4493,-0.701976633,0.495604706,0.199231652,0.446353729
3159,4064854.767,370865.5072,-0.629382281,0.532920895,0.192512619,0.4387626
3160,4064799.414,374586.5454,-0.533445493,0.586580425,0.180887247,0.425308414
